"ble_offset","app_field","sram","modbus","herkunft","nur"
"","","0x20014DC6","41502","schedule_time_02","nur Modbus"
"","","0x20014DC8","41503","schedule_time_03","nur Modbus"
"","","0x20014DCA","41504","schedule_time_04","nur Modbus"
"","","0x20014DD6","41510","schedule_time_10","nur Modbus"
"","","0x20014DDA","41512","schedule_time_12","nur Modbus"
"","","0x20014DDC","41513","schedule_time_13","nur Modbus"
"","","0x20014DDE","41514","schedule_time_14","nur Modbus"
"","","0x20014DE4","41601","schedule_power_01","nur Modbus"
"","","0x20014DE6","41602","schedule_power_02","nur Modbus"
"","","0x20014DE8","41603","schedule_power_03","nur Modbus"
"","","0x20014DEC","41605","schedule_power_05","nur Modbus"
"","","0x20014DEE","41606","schedule_power_06","nur Modbus"
"","","0x20014DF0","41607","schedule_power_07","nur Modbus"
"","","0x20014DF2","41608","schedule_power_08","nur Modbus"
"","","0x20014DF4","41609","schedule_power_09","nur Modbus"
"","","0x20014DF6","41610","schedule_power_10","nur Modbus"
"","","0x20014DF8","41611","schedule_power_11","nur Modbus"
"","","0x20014DFA","41612","schedule_power_12","nur Modbus"
"","","0x20014DFC","41613","schedule_power_13","nur Modbus"
"","","0x20014DFE","41614","schedule_power_14","nur Modbus"
"","","0x20014E00","41615","schedule_power_15","nur Modbus"
"","","0x20014E02","41616","schedule_power_16","nur Modbus"
"","","0x20014E04","41617","schedule_power_17","nur Modbus"
"","","0x20014E06","41618","schedule_power_18","nur Modbus"
"","","0x20014E08","41619","schedule_power_19","nur Modbus"
"","","0x20014E0A","41620","schedule_power_20","nur Modbus"
"","","0x20014E0C","41621","schedule_power_21","nur Modbus"
"","","0x20014E0E","41622","schedule_power_22","nur Modbus"
"","","0x20014E10","41623","schedule_power_23","nur Modbus"
"","","0x20014E12","41624","schedule_power_24","nur Modbus"
"","","0x20014E14","41625","schedule_power_25","nur Modbus"
"","","0x20014E16","41626","schedule_power_26","nur Modbus"
"","","0x20014E18","41627","schedule_power_27","nur Modbus"
"","","0x20014E1A","41628","schedule_power_28","nur Modbus"
"","","0x20014E1C","41629","schedule_power_29","nur Modbus"
"","","0x20014E1E","41630","schedule_power_30","nur Modbus"
"","","0x20014E20","41631","schedule_power_31","nur Modbus"
"","","0x20014CFD","42000","update_mode_status","nur Modbus"
"","","0x20000349","42010","force_mode","nur Modbus"
"","","0x2000034A","42011","charge_target_soc","nur Modbus"
"","","0x2000034C","42020","discharge_power_limit","nur Modbus"
"","","0x2000034E","42021","charge_power_limit","nur Modbus"
"","","0x20014CFD","43000","work_mode","nur Modbus"
"","","0x20014CFE","43100","slot1_days","nur Modbus"
"","","0x20014D04","43102","slot1_end_time","nur Modbus"
"","","0x20014D00","43103","slot1_power","nur Modbus"
"","","0x20014CFF","43104","slot1_enable","nur Modbus"
"","","0x20014D08","43105","slot2_days","nur Modbus"
"","","0x20014D0C","43106","slot2_start_time","nur Modbus"
"","","0x20014D0E","43107","slot2_end_time","nur Modbus"
"","","0x20014D0A","43108","slot2_power","nur Modbus"
"","","0x20014D09","43109","slot2_enable","nur Modbus"
"","","0x20014D12","43110","slot3_days","nur Modbus"
"","","0x20014D16","43111","slot3_start_time","nur Modbus"
"","","0x20014D18","43112","slot3_end_time","nur Modbus"
"","","0x20014D14","43113","slot3_power","nur Modbus"
"","","0x20014D13","43114","slot3_enable","nur Modbus"
"","","0x20014D1C","43115","slot4_days","nur Modbus"
"","","0x20014D20","43116","slot4_start_time","nur Modbus"
"","","0x20014D22","43117","slot4_end_time","nur Modbus"
"","","0x20014D1E","43118","slot4_power","nur Modbus"
"","","0x20014D1D","43119","slot4_enable","nur Modbus"
"","","0x20014D26","43120","slot5_days","nur Modbus"
"","","0x20014D2A","43121","slot5_start_time","nur Modbus"
"","","0x20014D2C","43122","slot5_end_time","nur Modbus"
"","","0x20014D28","43123","slot5_power","nur Modbus"
"","","0x20014D27","43124","slot5_enable","nur Modbus"
"","","0x20014D30","43125","slot6_days","nur Modbus"
"","","0x20014D34","43126","slot6_start_time","nur Modbus"
"","","0x20014D36","43127","slot6_end_time","nur Modbus"
"","","0x20014D32","43128","slot6_power","nur Modbus"
"","","0x20014D31","43129","slot6_enable","nur Modbus"
"","","0x20000156","44002","max_discharge_power","nur Modbus"
"","","0x20000158","44003","max_charge_power","nur Modbus"
"","","0x200002B4","45000","cmd_system_control","nur Modbus"
"","","0x20014FA3","45029","cmd_debug_flag","nur Modbus"
"","","0x20000132","46000","ota_command","nur Modbus"
"","","0x20014EC8","46500","eeprom_struct_00_reg0","nur Modbus"
"","","0x20014ECC","46501","eeprom_struct_00_reg1","nur Modbus"
"","","0x20014ECC","46502","eeprom_struct_00_reg2","nur Modbus"
"","","0x20014ED0","46503","eeprom_struct_01_reg0","nur Modbus"
"","","0x20014ED4","46504","eeprom_struct_01_reg1","nur Modbus"
"","","0x20014ED4","46505","eeprom_struct_01_reg2","nur Modbus"
"","","0x20014ED8","46506","eeprom_struct_02_reg0","nur Modbus"
"","","0x20014EDC","46507","eeprom_struct_02_reg1","nur Modbus"
